Tweets,Sentiment Score,Sentiment Magnitude
@ViceColombia instaló y presidió la Comisión Intersectorial de la #EconomíaSolidaria con la participación de entidades del orden nacional para la formulación de la política pública. ,0.100000001,0.100000001
@MintrabajoCOL @DNP_Colombia. ,0,0
Agradecemos a @NoruegaenCOL 🇳🇴 su solidaridad y rechazo absoluto al cobarde atentado contra el Presidente @IvanDuque y parte de nuestro gobierno. ,0.5,0.5
"¡No desfalleceremos ni un segundo en la lucha contra el terrorismo, narcotráfico y crimen organizado que amenazan nuestra democracia!. ",-0.300000012,0.300000012
Agradezco a @RobalsdqAlvarez 🇩🇴 su solidaridad y rechazo absoluto al cobarde atentado contra el Presidente @IvanDuque y parte de nuestro gobierno. ,0.200000003,0.200000003
"¡No desfalleceremos ni un segundo en la lucha contra el terrorismo, narcotráfico y crimen organizado que amenazan nuestra democracia!. ",-0.300000012,0.300000012
"Rechazamos el ataque cometido ayer al helicóptero del presidente @ivanduque en el que viajaban también los ministros @Diego_Molano y @DanielPalam, el gobernador de Santander y el alcalde de Cúcuta. ",0.200000003,0.200000003
Solidaridad con el gobierno y el pueblo colombiano. ,0.300000012,0.300000012
Panamá condena enérgicamente el acto perpetrado contra el presidente @ivanduque y otras autoridades. ,-0.200000003,0.200000003
Nuestra solidaridad con el pueblo colombiano y firme rechazo a todo uso de la violencia. ,0.200000003,0.200000003
"Mi máximo repudio al ataque que ayer sufrió el presidente de Colombia, Iván Duque. ",0.100000001,0.100000001
"Todo mi apoyo y solidaridad, @IvanDuque, y el del pueblo de España ante un hecho tan deleznable. ",0.800000012,0.800000012
Defenderemos siempre nuestros valores democráticos frente a los violentos. ,0.300000012,0.300000012
Agradezco a @HelenaSuecia 🇸🇪 su solidaridad y rechazo absoluto al cobarde atentado contra el Presidente @IvanDuque y parte de nuestro gobierno. ,0.200000003,0.200000003
"¡No desfalleceremos ni un segundo en la lucha contra el terrorismo, narcotráfico y crimen organizado que amenazan nuestra democracia!. ",-0.300000012,0.300000012
"¿Dónde están los candidatos y políticos que llaman ""cerdos"" y ""asesinos"" a nuestros policías? ",-0.200000003,0.200000003
Ellos son instigadores de violencia contra nuestra Fuerza Pública. ,-0.100000001,0.100000001
"¡Nos duele la muerte de estos 3 policías que tenían padres, esposa e hijos! ",-0.100000001,0.100000001
Duele el caos que han sembrado en 🇨🇴. ,0.200000003,0.200000003
1/ Rechazamos categóricamente y condenamos en la más contundente forma el atentado contra el helicóptero del señor presidente @IvanDuque y sus acompañantes El Estado de #Israel presenta su apoyo incondicional a la institucionalidad Colombiana encabezada por el señor Presidente. ,0.100000001,0.100000001
Repudio categóricamente el atentado contra el helicóptero en el que viajaba el Pdte. ,0.100000001,0.100000001
@IvanDuque y sus ministros de interior y defensa. ,0.100000001,0.100000001
Agradecemos a @MRREE_Uruguay 🇺🇾 su solidaridad y rechazo absoluto al cobarde atentado contra el Presidente @IvanDuque y parte de nuestro gobierno. ,0.5,0.5
"¡No desfalleceremos ni un segundo en la lucha contra el terrorismo, narcotráfico y crimen organizado que amenazan nuestra democracia!. ",-0.300000012,0.300000012
Agradezco a @RepSires 🇺🇸 su solidaridad y rechazo absoluto al cobarde atentado contra el Presidente @IvanDuque y parte de nuestro gobierno. ,0.200000003,0.200000003
"¡No desfalleceremos ni un segundo en la lucha contra el terrorismo, narcotráfico y crimen organizado que amenazan nuestra democracia!. ",-0.300000012,0.300000012
